year   ,control,pct,race
1995,3,7.448499,BLACK
1996,3,7.538774,BLACK
1997,3,7.146708,BLACK
1998,3,6.884762,BLACK
1999,3,7.214427,BLACK
2000,3,7.421838,BLACK
2001,3,7.426902,BLACK
2002,3,8.415788,BLACK
2003,3,8.683502,BLACK
2004,3,9.926032,BLACK
2005,3,10.87337,BLACK
2006,3,12.14934,BLACK
2007,3,12.3966,BLACK
2008,3,13.23893,BLACK
2009,3,15.55692,BLACK
2010,3,17.74415,BLACK
2011,3,19.06433,BLACK
2012,3,18.5277,BLACK
2013,3,18.05778,BLACK
2014,3,17.39003,BLACK
2015,3,16.82232,BLACK
1995,3,3.64571,WHITE
1996,3,3.574949,WHITE
1997,3,3.29165,WHITE
1998,3,3.292242,WHITE
1999,3,3.634142,WHITE
2000,3,3.578652,WHITE
2001,3,3.398357,WHITE
2002,3,3.735366,WHITE
2003,3,3.629119,WHITE
2004,3,4.145864,WHITE
2005,3,4.707864,WHITE
2006,3,5.260962,WHITE
2007,3,5.138046,WHITE
2008,3,5.54493,WHITE
2009,3,6.145695,WHITE
2010,3,7.058594,WHITE
2011,3,7.936503,WHITE
2012,3,7.888471,WHITE
2013,3,7.365822,WHITE
2014,3,6.865711,WHITE
2015,3,6.385098,WHITE
